N: 100
H: 20.000000
W: 20.000000
Separation: 0.050000
Separation Strength: 0.010000
Alignment Strength: 0.100000
Cohesion Strength: 0.010000
Max Velocity: 5.000000
Final Time: 0.005000
Delta t: 0.001000
Frame Delta t: 0.001000
Filename: 04-27-2022_15-43-41.out
#,vX,vY,pX,pY


t = 0.000000
0,2.313558,0.816834,3.872700,6.414376 
1,-3.955878,-1.361820,7.617409,3.756356 
2,-0.827201,-2.314073,0.767987,9.645965 
3,0.316706,-0.206777,0.687878,12.952319 
4,3.194696,3.777950,6.873760,19.765543 
5,0.239926,3.628930,2.608624,8.955702 
6,1.987382,0.196367,0.386937,19.670385 
7,-0.326307,1.281798,11.137501,16.496636 
8,0.877549,-0.260732,18.876983,13.975261 
9,-2.872734,1.385757,14.820745,3.830625 
10,0.389879,-0.361185,5.500827,1.504221 
11,-2.288494,-1.863269,16.438834,2.649551 
12,-1.419150,-4.388029,8.748329,7.398622 
13,-2.624237,3.110290,3.408338,14.288443 
14,1.241917,1.403300,16.436340,11.332396 
15,-0.108502,-3.617159,14.228988,4.564904 
16,3.682377,3.077170,0.431649,5.440144 
17,-0.872291,-1.056760,12.503974,18.761907 
18,1.252526,-0.717340,6.577858,2.012393 
19,-1.107847,0.662516,9.450063,8.103816 
20,-0.088820,0.107968,6.947496,18.660888 
21,-1.347794,1.612064,6.366768,2.647462 
22,-0.564851,0.314892,12.165315,5.104184 
23,1.529230,-1.053192,13.507993,5.368875 
24,-4.238749,-1.931879,11.962756,8.216473 
25,-1.489387,-2.863849,5.808669,14.585032 
26,-1.960816,-3.716897,1.574997,12.207943 
27,0.083826,0.132280,3.875515,19.833390 
28,0.803516,-0.789507,5.860656,9.010780 
29,0.466579,-0.046794,17.037365,7.395571 
30,-2.092067,-0.851052,5.877494,15.189284 
31,-0.035053,0.073093,10.162611,12.331496 
32,1.026495,4.276516,11.718867,12.753377 
33,-1.551073,-0.110433,10.426303,11.064851 
34,1.352593,-1.442675,10.559313,19.560837 
35,-2.749118,1.935482,18.796777,17.206786 
36,-0.042991,-0.099433,9.878172,11.918826 
37,-2.096742,4.106043,15.946853,17.291444 
38,1.571495,1.419163,8.365093,2.575006 
39,1.662689,-1.787278,7.443198,8.591282 
40,0.204088,-0.535279,8.739510,4.055899 
